編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPXNMLQKLHMFFDA48CA,24,104.08,見其他登記事項,鋼筋混凝土造,82年3月23日,012,八層
RPXNMLQKLHMFFDA48CA,24,29.94,共有部分,鋼筋混凝土造,82年3月23日,012,
RPTNMLNKLHMFFDA77CA,,92.99,住家用,鋼筋混凝土造,,007,六層
RPTNMLNKLHMFFDA77CA,,18.39,共有部分,鋼筋混凝土造,,007,
RPSPMLKKLHMFFDA57CA,,48.12,見其他登記事項,鋼筋混凝土造,105年3月1日,006,四層
RPSPMLKKLHMFFDA57CA,,57.07,見其他登記事項,鋼筋混凝土造,105年3月1日,006,
RPUPMLKKLHMFFDA77CA,,41.93,見其他登記事項,鋼筋混凝土造,105年3月1日,006,一層
RPUPMLKKLHMFFDA77CA,,19.33,見其他登記事項,鋼筋混凝土造,105年3月1日,006,
RPSOMLOLKHMFFEA97CA,23,64.18,住家用,鋼筋混凝土造,83年2月22日,005,四層
RPSOMLOLKHMFFEA97CA,23,2.66,共有部分,鋼筋混凝土造,83年2月22日,005,
RPUNMLNJLHMFFEA87CA,47,68.20,住家用,加強磚造,59年3月25日,004,二層
RPOOMLQJLHMFFEA67CA,39,66.02,住家用,鋼筋混凝土造,66年9月13日,004,四層
RPUOMLSJLHMFFEA48CA,22,152.81,住家用,鋼筋混凝土造,84年2月15日,005,五層
RPUOMLSJLHMFFEA48CA,22,50.85,共有部分,鋼筋混凝土造,84年2月15日,005,
RPQPMLNKLHMFFEA77CA,2,.22,住家用,鋼筋混凝土造,104年7月17日,007,一層
RPQPMLNKLHMFFEA77CA,2,.12,見其他登記事項,鋼筋混凝土造,104年7月17日,007,
RPQPMLNKLHMFFEA77CA,1,72.98,見其他登記事項,鋼筋混凝土造,104年11月19日,005,
RPQPMLNKLHMFFEA77CA,1,147.99,住家用,鋼筋混凝土造,104年11月19日,005,三層
RPQPMLNKLHMFFEA77CA,1,58.86,見其他登記事項,鋼筋混凝土造,104年11月19日,005,
RPQPMLNKLHMFFEA77CA,1,.15,住家用,鋼筋混凝土造,104年11月19日,005,一層
RPQPMLNKLHMFFEA77CA,1,11.96,見其他登記事項,鋼筋混凝土造,104年11月19日,005,
RPQPMLNKLHMFFEA77CA,1,.14,住家用,鋼筋混凝土造,104年11月19日,005,一層
RPRNMLRKLHMFFEA08CA,1,32.74,見其他登記事項,鋼筋混凝土造,104年8月28日,019,十六層
RPRNMLRKLHMFFEA08CA,1,36.91,見其他登記事項,鋼筋混凝土造,104年8月28日,019,
RPRNMLRKLHMFFEA08CA,1,16.55,見其他登記事項,鋼筋混凝土造,104年8月28日,019,
RPSNMLRKLHMFFEA18CA,1,64.61,見其他登記事項,鋼筋混凝土造,104年8月28日,019,四層
RPSNMLRKLHMFFEA18CA,1,36.91,見其他登記事項,鋼筋混凝土造,104年8月28日,019,
RPSNMLRKLHMFFEA18CA,1,30.91,見其他登記事項,鋼筋混凝土造,104年8月28日,019,
RPTNMLRKLHMFFEA28CA,1,64.61,見其他登記事項,鋼筋混凝土造,104年8月28日,019,十層
RPTNMLRKLHMFFEA28CA,1,36.91,見其他登記事項,鋼筋混凝土造,104年8月28日,019,
RPTNMLRKLHMFFEA28CA,1,30.91,見其他登記事項,鋼筋混凝土造,104年8月28日,019,
RPUNMLRKLHMFFEA38CA,1,64.61,見其他登記事項,鋼筋混凝土造,104年8月28日,019,七層
RPUNMLRKLHMFFEA38CA,1,36.91,見其他登記事項,鋼筋混凝土造,104年8月28日,019,
RPUNMLRKLHMFFEA38CA,1,30.91,見其他登記事項,鋼筋混凝土造,104年8月28日,019,
RPVNMLRKLHMFFEA48CA,1,36.91,見其他登記事項,鋼筋混凝土造,104年8月28日,019,
RPVNMLRKLHMFFEA48CA,1,17.34,見其他登記事項,鋼筋混凝土造,104年8月28日,019,
RPVNMLRKLHMFFEA48CA,1,33.64,見其他登記事項,鋼筋混凝土造,104年8月28日,019,十四層
RPWNMLRKLHMFFEA58CA,1,17.81,見其他登記事項,鋼筋混凝土造,104年8月28日,019,
RPWNMLRKLHMFFEA58CA,1,34.31,見其他登記事項,鋼筋混凝土造,104年8月28日,019,十四層
RPWNMLRKLHMFFEA58CA,1,36.91,見其他登記事項,鋼筋混凝土造,104年8月28日,019,
RPXNMLRKLHMFFEA68CA,1,36.91,見其他登記事項,鋼筋混凝土造,104年8月28日,019,
RPXNMLRKLHMFFEA68CA,1,34.37,見其他登記事項,鋼筋混凝土造,104年8月28日,019,十三層
RPXNMLRKLHMFFEA68CA,1,17.81,見其他登記事項,鋼筋混凝土造,104年8月28日,019,
RPOOMLRKLHMFFEA87CA,1,32.09,見其他登記事項,鋼筋混凝土造,104年8月28日,019,十七層
RPOOMLRKLHMFFEA87CA,1,16.39,見其他登記事項,鋼筋混凝土造,104年8月28日,019,
RPPOMLRKLHMFFEA97CA,1,32.09,見其他登記事項,鋼筋混凝土造,104年8月28日,019,十四層
RPPOMLRKLHMFFEA97CA,1,36.91,見其他登記事項,鋼筋混凝土造,104年8月28日,019,
RPPOMLRKLHMFFEA97CA,1,16.39,見其他登記事項,鋼筋混凝土造,104年8月28日,019,
RPTNMLOLKHMFFEA97CA,28,94.58,住家用,鋼筋混凝土造,77年11月7日,005,二層
RPTNMLOLKHMFFEA97CA,28,10.33,共有部分,鋼筋混凝土造,77年11月7日,005,
RPWNMLOLKHMFFEA28CA,40,85.84,住家用,鋼筋混凝土造,65年11月4日,004,三層 陽台
RPWOMLNLKHMFFEA28CA,10,.35,見其他登記事項,鋼筋混凝土造,96年6月27日,010,一層
RPWOMLNLKHMFFEA28CA,10,19.95,共有部分,鋼筋混凝土造,96年6月27日,010,
RPWOMLNLKHMFFEA28CA,10,.05,共有部分,鋼筋混凝土造,96年6月27日,010,
RPWOMLNLKHMFFEA28CA,10,.03,共有部分,鋼筋混凝土造,96年6月27日,010,
RPWOMLNLKHMFFEA28CA,10,23.61,共有部分,鋼筋混凝土造,96年6月27日,010,
RPWOMLNLKHMFFEA28CA,10,98.74,住家用,鋼筋混凝土造,96年6月27日,010,八層
RPWOMLNLKHMFFEA28CA,10,12.67,共有部分,鋼筋混凝土造,96年6月27日,010,
RPWOMLNLKHMFFEA28CA,10,9.21,共有部分,鋼筋混凝土造,96年6月27日,010,
RPWOMLNLKHMFFEA28CA,10,14.49,共有部分,鋼筋混凝土造,96年6月27日,010,
RPQNMLNLKHMFFEA57CA,21,44.90,住家用,鋼筋混凝土造,85年1月26日,005,三層
RPQNMLNLKHMFFEA57CA,21,8.06,共有部分,鋼筋混凝土造,85年1月26日,005,
RPQNMLNLKHMFFEA57CA,21,5.79,共有部分,鋼筋混凝土造,85年1月26日,005,
RPWNMLNLKHMFFEA18CA,41,93.00,住家用,鋼筋混凝土造,65年5月14日,004,四層 陽台
RPOOMLNLKHMFFEA47CA,4,.68,見其他登記事項,鋼筋混凝土造,101年11月9日,014,一層
RPOOMLNLKHMFFEA47CA,4,66.37,見其他登記事項,鋼筋混凝土造,101年11月9日,014,
RPROMLOKLHMFFDA77CA,,79.43,商業用,鋼筋混凝土造,,004,四層
RPQNMLLJLHMFFBA96CA,,204.47,商業用,磚造,,003,一層 二層 三層 騎樓
RPUOMLMLKHMFFBA67CA,39,12.38,見其他登記事項,鋼筋混凝土造,67年1月30日,011,
RPUOMLMLKHMFFBA67CA,39,62.44,住家用,鋼筋混凝土造,67年1月30日,011,四層
RPUOMLMLKHMFFBA67CA,39,13.48,見其他登記事項,鋼筋混凝土造,67年1月30日,011,
RPUOMLMLKHMFFBA67CA,39,67.41,住家用,鋼筋混凝土造,67年1月30日,011,四層
RPUOMLMLKHMFFBA67CA,39,17.78,見其他登記事項,鋼筋混凝土造,67年1月30日,011,
RPUOMLMLKHMFFBA67CA,39,89.14,住家用,鋼筋混凝土造,67年1月30日,011,四層
RPUOMLMLKHMFFBA67CA,39,27.21,見其他登記事項,鋼筋混凝土造,67年1月30日,011,
RPUOMLMLKHMFFBA67CA,39,136.61,住家用,鋼筋混凝土造,67年1月30日,011,四層
RPVOMLMLLHMFFAA77CA,2,131.50,住家用,鋼骨鋼筋混凝土造,104年4月27日,033,七層
