timestamp,gym,gym_cap,pool,pool_cap,pool_temp
2017-04-19T19:59:02.027965+08:00,116,120,81,300,29
2017-04-19T20:00:02.327353+08:00,114,120,81,300,29
2017-04-19T20:01:02.632992+08:00,117,120,85,300,29
2017-04-19T20:02:02.103107+08:00,120,120,86,300,29
2017-04-19T20:03:02.263449+08:00,118,120,87,300,29
2017-04-19T20:04:02.630449+08:00,119,120,87,300,29
2017-04-19T20:05:01.925745+08:00,118,120,85,300,29
2017-04-19T20:06:02.191201+08:00,118,120,84,300,29
2017-04-19T20:07:02.431501+08:00,118,120,84,300,29
2017-04-19T20:08:02.662434+08:00,116,120,85,300,29
2017-04-19T20:09:02.081820+08:00,116,120,84,300,29
2017-04-19T20:10:02.439245+08:00,115,120,85,300,29
2017-04-19T20:11:02.742440+08:00,114,120,85,300,29
2017-04-19T20:12:01.961878+08:00,114,120,85,300,29
2017-04-19T20:13:02.407697+08:00,113,120,86,300,29
2017-04-19T20:14:02.771746+08:00,115,120,85,300,29
2017-04-19T20:15:02.110281+08:00,112,120,86,300,29
2017-04-19T20:16:02.281915+08:00,111,120,88,300,29
2017-04-19T20:17:02.516879+08:00,111,120,88,300,29
2017-04-19T20:18:02.785846+08:00,109,120,89,300,29
2017-04-19T20:19:02.089984+08:00,111,120,89,300,29
2017-04-19T20:20:02.471131+08:00,112,120,88,300,29
2017-04-19T20:21:02.793667+08:00,112,120,90,300,29
2017-04-19T20:22:02.050648+08:00,112,120,90,300,29
2017-04-19T20:23:02.366485+08:00,112,120,89,300,29
2017-04-19T20:24:02.746026+08:00,112,120,88,300,29
2017-04-19T20:25:01.991879+08:00,113,120,87,300,29
2017-04-19T20:26:02.314004+08:00,111,120,86,300,29
2017-04-19T20:27:02.460363+08:00,111,120,85,300,29
2017-04-19T20:28:02.860828+08:00,110,120,85,300,29
2017-04-19T20:29:02.133812+08:00,110,120,86,300,29
2017-04-19T20:30:02.538031+08:00,109,120,86,300,29
2017-04-19T20:31:02.938128+08:00,104,120,86,300,29
2017-04-19T20:32:02.213927+08:00,104,120,83,300,29
2017-04-19T20:33:02.596396+08:00,97,120,84,300,29
